movie_id,title,overview,genres,cast,keywords,runtime,release_year,language,vote_average,vote_count,combined_features
689243,In the Footsteps of Elephant,"Follow filmmakers as they capture the epic journey of African elephants across the Kalahari desert. The team faces extreme weather, inaccessible terrain, crocodile-infested waters and close encounters with lions in order to shine a light on these remarkable creatures and their ancient migrations.",['Documentary'],"['Jeremy Sisto', 'Mike Chase', 'Martyn Colbeck']","['elephant', 'wildlife', 'nature documentary', 'kalahari desert', 'animal behaviour', 'observational documentary', 'documentary', 'giant creature', 'legendary creature', 'animal documentary', 'elephants', 'wildlife documentary']",88,2020,en,8.0,8,"Follow filmmakers as they capture the epic journey of African elephants across the Kalahari desert. The team faces extreme weather, inaccessible terrain, crocodile-infested waters and close encounters with lions in order to shine a light on these remarkable creatures and their ancient migrations. ['Documentary'] ['Jeremy Sisto', 'Mike Chase', 'Martyn Colbeck'] ['elephant', 'wildlife', 'nature documentary', 'kalahari desert', 'animal behaviour', 'observational documentary', 'documentary', 'giant creature', 'legendary creature', 'animal documentary', 'elephants', 'wildlife documentary']"
710722,Chita: A Legendary Celebration,"Broadway Cares/Equity Fights AIDS presents a 2013 concert celebrating Chita Rivera's 80th birthday as a fundraiser to aid struggling artists during the pandemic. Chita offers a musical retrospective of her career in the theatre with guest stars Tommy Tune and Ben Vereen. Includes songs from 'Seventh Heaven,' 'West Side Story,' 'Bye Bye Birdie,' 'The Happy Time,' 'Jacques Brel Is Alive and Well and Living in Paris,' 'Chicago,' 'The Rink,' 'Kiss of the Spider Woman,' & 'The Visit,' among others.",['Music'],"['Chita Rivera', 'Tommy Tune', 'Ben Vereen']","['concert', 'broadway', 'broadway star', 'benefit concert', 'musical theater']",94,2020,en,0.0,0,"Broadway Cares/Equity Fights AIDS presents a 2013 concert celebrating Chita Rivera's 80th birthday as a fundraiser to aid struggling artists during the pandemic. Chita offers a musical retrospective of her career in the theatre with guest stars Tommy Tune and Ben Vereen. Includes songs from 'Seventh Heaven,' 'West Side Story,' 'Bye Bye Birdie,' 'The Happy Time,' 'Jacques Brel Is Alive and Well and Living in Paris,' 'Chicago,' 'The Rink,' 'Kiss of the Spider Woman,' & 'The Visit,' among others. ['Music'] ['Chita Rivera', 'Tommy Tune', 'Ben Vereen'] ['concert', 'broadway', 'broadway star', 'benefit concert', 'musical theater']"
739246,GIMS: On the Record,Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,"['Documentary', 'Music']","['Gims', 'Soprano', 'Black M']",[],96,2020,fr,7.3,33,"Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary. ['Documentary', 'Music'] ['Gims', 'Soprano', 'Black M'] []"
791738,Triple Threat,Close friendships are slowly pulled apart as a once shared dream is abandoned by one in favor of fatherhood.,['Drama'],"['Stacey Maltin', 'Jay DeYonker', 'MARS']",[],99,2020,en,6.0,2,"Close friendships are slowly pulled apart as a once shared dream is abandoned by one in favor of fatherhood. ['Drama'] ['Stacey Maltin', 'Jay DeYonker', 'MARS'] []"
699095,Rare Blood,"A gripping psychological thriller where a paranoid husband, Panos and his cunning sister plot against his unsuspecting wife. A dream of a life in the country turns into a dystopian nightmare.","['Drama', 'Thriller']","['Brendan Grealy', 'Annie Robinson', 'Fiona Ramsay']",[],85,2020,en,4.0,1,"A gripping psychological thriller where a paranoid husband, Panos and his cunning sister plot against his unsuspecting wife. A dream of a life in the country turns into a dystopian nightmare. ['Drama', 'Thriller'] ['Brendan Grealy', 'Annie Robinson', 'Fiona Ramsay'] []"
727246,Holiday on Mars,"We are in 2030, and on vacation we go to Mars!  Having made his wife and son Giulio lose his tracks for years, Fabio (Christian De Sica) is about to marry the wealthy Bea on Mars. But what could happen if during an excursion into space, something goes wrong and Giulio suddenly becomes a sprightly old man (Massimo Boldi)? Between hilarious unexpected events and amusing misunderstandings, Fabio will find himself dealing with a seventy-year-old son and a marriage that is in danger of jumping ...","['Comedy', 'Science Fiction']","['Christian De Sica', 'Massimo Boldi', 'Milena Vukotić']","['planet mars', 'time travel', 'wormhole', 'black hole', 'family relationships', 'space station', 'cinepanettone', 'christmas']",93,2020,it,3.295,176,"We are in 2030, and on vacation we go to Mars!  Having made his wife and son Giulio lose his tracks for years, Fabio (Christian De Sica) is about to marry the wealthy Bea on Mars. But what could happen if during an excursion into space, something goes wrong and Giulio suddenly becomes a sprightly old man (Massimo Boldi)? Between hilarious unexpected events and amusing misunderstandings, Fabio will find himself dealing with a seventy-year-old son and a marriage that is in danger of jumping ... ['Comedy', 'Science Fiction'] ['Christian De Sica', 'Massimo Boldi', 'Milena Vukotić'] ['planet mars', 'time travel', 'wormhole', 'black hole', 'family relationships', 'space station', 'cinepanettone', 'christmas']"
743694,Cosmic Fling,"Cosmic Fling is the tale of Stan, an intergalactic garbage man who lives alone on an asteroid. To feed himself, he harpoons space debris and converts it into nourishment. To feed his soul, he dreams only of love. One day, he spots Beatrice, a fellow astronaut stranded on a passing comet. He falls instantly in love…but must wait for her comet to return. In order to be with her, he will need to resort to extreme measures.",[],"['Josh Fadem', 'Caitlin McGee']",[],10,2020,en,5.0,1,"Cosmic Fling is the tale of Stan, an intergalactic garbage man who lives alone on an asteroid. To feed himself, he harpoons space debris and converts it into nourishment. To feed his soul, he dreams only of love. One day, he spots Beatrice, a fellow astronaut stranded on a passing comet. He falls instantly in love…but must wait for her comet to return. In order to be with her, he will need to resort to extreme measures. [] ['Josh Fadem', 'Caitlin McGee'] []"
635199,Howling Village,"After her brother goes missing, a young psychologist visits an infamous haunted and cursed location known as ‘Howling Village’ to investigate his disappearance and uncover her family’s dark history.","['Horror', 'Mystery']","['Ayaka Miyoshi', 'Ryota Bando', 'Rinka Otani']","['dam', 'occult', 'japanese folklore', 'ghosts of the past', 'bloodline', 'dog cage', 'cursed village']",108,2020,ja,5.8,99,"After her brother goes missing, a young psychologist visits an infamous haunted and cursed location known as ‘Howling Village’ to investigate his disappearance and uncover her family’s dark history. ['Horror', 'Mystery'] ['Ayaka Miyoshi', 'Ryota Bando', 'Rinka Otani'] ['dam', 'occult', 'japanese folklore', 'ghosts of the past', 'bloodline', 'dog cage', 'cursed village']"
679677,Ecstasy,"Racked with anxiety in the chaotic political landscape of 1990s Brazil, Clara finds solace in starving herself, experiencing both rapture and torture. In this elliptical non-fiction film, anorexia becomes a way for Clara to challenge womanhood and find a place in an uncertain, surreal, and brutal world.",['Documentary'],[],[],75,2020,pt,6.667,3,"Racked with anxiety in the chaotic political landscape of 1990s Brazil, Clara finds solace in starving herself, experiencing both rapture and torture. In this elliptical non-fiction film, anorexia becomes a way for Clara to challenge womanhood and find a place in an uncertain, surreal, and brutal world. ['Documentary'] [] []"
842139,Crypto Legacy,"Troy Morgan doesn't like his family's farm. The place creeps him out. After spotting some strange lights one evening, Troy and his little sister Carrie go to investigate the creepy barn.","['Action', 'Horror', 'Thriller']","['Sheri Gill Dixon', 'Brian Kunz', 'Brandon Young']",[],71,2020,en,5.9,4,"Troy Morgan doesn't like his family's farm. The place creeps him out. After spotting some strange lights one evening, Troy and his little sister Carrie go to investigate the creepy barn. ['Action', 'Horror', 'Thriller'] ['Sheri Gill Dixon', 'Brian Kunz', 'Brandon Young'] []"
775839,Godzilla's Leading Ladies,"An NHK documentary about the talented actresses who have portrayed the beautiful, intelligent and resourceful heroines of the long running series. Features interviews with Kumi Mizuno, Keiko Mari, Yumiko Shaku, and Megumi Odaka.  Also featured are never before seen 8mm home movies shot by producer Tomoyuki Tanaka on the sets of classic Toho films.","['Documentary', 'TV Movie']","['Tsukaji Muga', 'Megumi Han', 'Shiro Sano']",[],89,2020,ja,10.0,2,"An NHK documentary about the talented actresses who have portrayed the beautiful, intelligent and resourceful heroines of the long running series. Features interviews with Kumi Mizuno, Keiko Mari, Yumiko Shaku, and Megumi Odaka.  Also featured are never before seen 8mm home movies shot by producer Tomoyuki Tanaka on the sets of classic Toho films. ['Documentary', 'TV Movie'] ['Tsukaji Muga', 'Megumi Han', 'Shiro Sano'] []"
779038,Reversal,"A social-drama set in an alternate time-line where Caucasians are the racially oppressed minority, Reversal follows the romance of two high-school students: Sammy and Ella, one from a rich African-American family, and the other from poor white trash. Both Sammy and Ella overcome prejudice and bullying from the dysfunctional families and environments and bring with them a little bit of change.",['Drama'],"['Kaye L. Morris', 'Xavier Avila', 'Anthony W. Preston']",[],77,2020,en,10.0,1,"A social-drama set in an alternate time-line where Caucasians are the racially oppressed minority, Reversal follows the romance of two high-school students: Sammy and Ella, one from a rich African-American family, and the other from poor white trash. Both Sammy and Ella overcome prejudice and bullying from the dysfunctional families and environments and bring with them a little bit of change. ['Drama'] ['Kaye L. Morris', 'Xavier Avila', 'Anthony W. Preston'] []"
1363026,GigiBoy,A 19 year-old girl juggles her two boyfriends and DUI school.,['Comedy'],"['Kara Hayward', 'Sam Lerner', 'Niko Guardado']",[],7,2020,en,0.0,0,"A 19 year-old girl juggles her two boyfriends and DUI school. ['Comedy'] ['Kara Hayward', 'Sam Lerner', 'Niko Guardado'] []"
728203,Coastal Elites,"A socially distanced comedic satire that spotlights five characters breaking down and breaking through as they grapple with politics, culture, and the pandemic.","['Comedy', 'Drama', 'TV Movie']","['Bette Midler', 'Kaitlyn Dever', 'Dan Levy']",['screenlife'],87,2020,en,5.8,34,"A socially distanced comedic satire that spotlights five characters breaking down and breaking through as they grapple with politics, culture, and the pandemic. ['Comedy', 'Drama', 'TV Movie'] ['Bette Midler', 'Kaitlyn Dever', 'Dan Levy'] ['screenlife']"
